,client_id,client_age_at_exit
0,304170,2.0
1,377856,4.0
2,364380,3.0
3,376205,4.0
4,376206,4.0
5,294940,4.0
6,376273,5.0
7,202961,5.0
8,354663,4.0
9,372493,4.0
10,376994,5.0
11,303499,2.0
12,378035,4.0
13,222261,4.0
14,306323,2.0
15,318535,0.0
16,376726,4.0
17,304478,4.0
18,332822,1.0
19,311478,3.0
20,376568,3.0
21,339799,2.0
22,377973,5.0
23,386661,1.0
24,386661,1.0
25,386661,0.0
26,362142,5.0
27,376995,4.0
28,376430,4.0
29,333318,4.0
30,389569,1.0
31,313852,2.0
32,343205,2.0
33,468022,5.0
34,468021,5.0
35,300855,4.0
36,468179,4.0
37,313852,1.0
38,373199,10.0
39,463299,3.0
40,463260,4.0
41,464753,6.0
42,418937,6.0
43,464997,7.0
44,463680,7.0
45,463663,7.0
46,463666,7.0
47,463667,7.0
48,463678,7.0
49,465789,6.0
50,467683,8.0
51,477224,6.0
52,477886,7.0
53,477894,5.0
54,349945,5.0
55,478194,7.0
56,423744,1.0
57,423745,2.0
58,423743,2.0
59,434343,1.0
60,434344,1.0
61,434345,1.0
62,434346,1.0
63,431503,1.0
64,435636,1.0
65,431506,1.0
66,431505,1.0
67,308533,1.0
68,402738,1.0
69,402740,1.0
70,361373,4.0
71,375909,4.0
72,361372,4.0
73,414964,3.0
74,414969,2.0
75,414968,2.0
76,414967,2.0
77,414965,3.0
78,417053,3.0
79,414966,3.0
80,428532,2.0
81,428543,3.0
82,428544,3.0
83,428546,2.0
84,428545,3.0
85,436475,3.0
86,436478,3.0
87,436479,2.0
88,436480,2.0
89,434316,3.0
90,434326,3.0
91,434327,3.0
92,426182,3.0
93,432858,2.0
94,426195,3.0
95,338215,2.0
96,433772,2.0
97,338216,2.0
98,406251,2.0
99,406253,3.0
100,406254,3.0
101,445128,3.0
102,445139,3.0
103,445138,2.0
104,445284,3.0
105,337450,2.0
106,445285,3.0
107,441615,2.0
108,441617,2.0
109,441616,3.0
110,395340,3.0
111,395339,2.0
112,411249,3.0
113,447754,2.0
114,449171,2.0
115,306798,3.0
116,306801,3.0
117,306800,3.0
118,411944,3.0
119,411952,3.0
120,411954,3.0
121,408640,3.0
122,408639,3.0
123,411950,3.0
124,411945,3.0
125,408635,3.0
126,308313,3.0
127,308316,3.0
128,316643,2.0
129,316644,3.0
130,388391,2.0
131,388397,2.0
132,388398,2.0
133,388395,2.0
134,391737,3.0
135,447748,2.0
136,391738,3.0
137,392578,2.0
138,381814,3.0
139,381815,2.0
140,381813,2.0
141,373052,3.0
142,387762,3.0
143,387758,3.0
144,387754,3.0
145,387761,2.0
146,346678,3.0
147,346679,3.0
148,335563,3.0
149,370055,3.0
150,335564,4.0
151,335565,3.0
152,370054,3.0
153,387004,3.0
154,387021,2.0
155,387006,2.0
156,386935,2.0
157,386936,3.0
158,373010,4.0
159,373283,3.0
160,373400,3.0
161,383192,4.0
162,383193,4.0
163,383195,4.0
164,449896,2.0
165,424898,2.0
166,424899,2.0
167,426410,2.0
168,467567,1.0
169,374313,3.0
170,379706,2.0
171,379707,2.0
172,382007,3.0
173,382008,2.0
174,382014,2.0
175,382009,2.0
176,379320,2.0
177,379322,2.0
178,379321,2.0
179,379324,2.0
180,385867,2.0
181,391972,2.0
182,375941,3.0
183,376229,3.0
184,376230,3.0
185,125446,2.0
186,411921,2.0
187,400048,1.0
188,423260,0.0
189,422177,2.0
190,422499,2.0
191,416198,3.0
192,416631,2.0
193,423908,2.0
194,424416,2.0
195,424616,3.0
196,424619,3.0
197,376187,3.0
198,412663,2.0
199,423749,3.0
200,423754,2.0
201,435149,1.0
202,427833,2.0
203,427840,2.0
204,430990,2.0
205,430991,2.0
206,437030,2.0
207,437035,2.0
208,437034,2.0
209,437038,2.0
210,437037,3.0
211,418371,2.0
212,438423,3.0
213,438418,2.0
214,438419,2.0
215,438421,2.0
216,422595,1.0
217,427544,0.0
218,422596,0.0
219,427546,0.0
220,427917,1.0
221,427920,1.0
222,427921,1.0
223,427919,1.0
224,427918,1.0
225,427922,1.0
226,416164,2.0
227,416165,2.0
228,388723,2.0
229,388726,2.0
230,437801,2.0
231,433547,3.0
232,433548,3.0
233,433546,2.0
234,433549,3.0
235,433550,2.0
236,436345,1.0
237,436346,2.0
238,436347,1.0
239,308532,3.0
240,308533,2.0
241,433785,1.0
242,433786,0.0
243,433787,0.0
244,433788,0.0
245,433789,0.0
246,434342,2.0
247,434343,2.0
248,434344,2.0
249,434345,2.0
250,434346,2.0
251,440492,1.0
252,440491,1.0
253,377681,1.0
254,444215,2.0
255,444217,1.0
256,444216,1.0
257,440377,2.0
258,424116,2.0
259,424122,2.0
260,440380,2.0
261,445168,2.0
262,445169,2.0
263,445172,2.0
264,445171,2.0
265,445170,3.0
266,443244,2.0
267,443249,2.0
268,415134,0.0
269,415136,0.0
270,441090,2.0
271,441092,2.0
272,441091,2.0
273,436338,1.0
274,433913,0.0
275,426593,0.0
276,426594,0.0
277,426592,0.0
278,465553,1.0
279,468199,1.0
280,468211,1.0
